person_id,name,Recognizability,x,y
7499,Jared Leto,10,80.0,0.0
932967,Mahershala Ali,10,-83.42376542801547,76.42300283168315
40462,Kristen Bell,10,12.114063767864499,-138.0335084645323
5530,James McAvoy,10,97.35021775661767,126.97612020667162
5472,Colin Firth,10,-176.1509033220831,-31.158614520131202
5469,Ralph Fiennes,10,165.34159520495726,-105.1767887657731
76594,Miley Cyrus,10,-54.947874404091095,204.40335393156403
226001,Ariana Grande,10,-104.29135445482777,-200.80665672725465
19394,Idina Menzel,10,225.43711111778805,82.32927140978529
37917,Kristen Stewart,10,-233.84298419604042,96.5269845291481
1821863,Post Malone,10,112.45905075750106,-240.31845934659654
505710,Zendaya,10,82.93997745665037,264.425717621207
113461,John Legend,10,-249.5650704697184,-144.6280595231938
16897,Sidney Poitier,10,292.3508898303222,-64.27252302048532
90633,Gal Gadot,10,-178.19733607776095,253.4673734719905
212225,Kim Kardashian,10,-41.12342073567558,-317.34659958316337
5374,Jim Parsons,10,252.21828598301488,212.56983844325174
4430,Sharon Stone,10,-339.1214160884785,14.023735242259795
3359,Laurence Olivier,10,247.17726281262037,-245.9743904321359
5309,Judi Dench,10,-16.525954096270524,357.3889937326106
15886,Julia Louis-Dreyfus,10,-234.88785241972255,-281.4741494092319
1137,Juliette Binoche,10,371.8822074050051,50.03622503327734
5292,Denzel Washington,10,-314.9358630876071,219.12417060028767
4483,Dustin Hoffman,10,86.01877803216861,-382.3620925586799
2963,Nicolas Cage,10,198.8723499861107,347.05876795004315
107379,LeBron James,10,-388.6239249107845,-123.98163165137359
446511,Shakira,10,377.361687846895,-174.35067119269317
65717,Jon Hamm,10,-163.42745830295615,390.50155681205104
16377,Jerry Seinfeld,10,-145.8097043457637,-405.38812281392876
56446,John Cena,10,387.870578024834,203.85390529170934
54812,Chevy Chase,10,-430.7088907968319,113.53348135489699
85930,John Mayer,10,244.75522068131238,-380.6506035056849
18973,Mila Kunis,10,77.83936270233941,452.9249757013778
6352,Jane Fonda,10,-368.806856003281,-285.6247590195485
69597,Drew Barrymore,10,471.67042887184004,-39.076930890930015
71580,Benedict Cumberbatch,10,-325.95808629734404,352.3511401675511
77948,Selena Gomez,10,2.373872123390888,-486.61521218632464
1562344,Cardi B,10,331.34226651522187,365.2564885399788
165899,Simon Cowell,10,-497.4678977968661,-46.105212954358386
1205,Richard Gere,10,403.03074041997854,-305.88596286283536
1204,Julia Roberts,10,-91.68432953415801,503.97815797698206
1052109,Harry Styles,10,-276.1342999313322,-438.8050232180952
1230,John Goodman,10,505.9389918775131,138.6569020927762
1356210,Millie Bobby Brown,10,-472.12090308596964,242.28465256653877
1231,Julianne Moore,10,186.55076083411726,-503.18864616782844
31309,Hugh Hefner,10,204.57821608011034,502.5412953235582
1700685,Lewis Pullman,10,-495.61219471664555,-234.87986812017294
19492,Viola Davis,10,529.654350906599,-163.29809725073105
2628,Kiefer Sutherland,10,-283.1485188770133,483.1427493585655
3037,Richard Dreyfuss,10,-118.76700073438177,-553.077209380896
3036,John Cusack,10,465.76227984353045,330.85570672871415
1245,Scarlett Johansson,10,-572.4595684732618,71.34453352154465
60017,Faith Hill,10,377.49960588165817,-443.5020265559029
3092,Diane Keaton,10,21.424152331901503,587.4870259817314
1959397,Dua Lipa,10,-416.44249469273933,-422.5821205565703
57755,Woody Harrelson,10,597.8841541013422,30.57021875162933
3223,Robert Downey Jr.,10,-465.61345514870925,384.71302341418215
2176,Tommy Lee Jones,10,84.18787068183535,-603.4172705765543
1283,Helena Bonham Carter,10,348.4909280876851,506.1166595169377
1327,Ian McKellen,10,-603.8968751133978,-138.95525980787198
3291,Hugh Grant,10,543.632105016075,-308.0002181749084
3293,Rachel Weisz,10,-194.38019193917552,599.1797234400454
112,Cate Blanchett,10,-263.5098975720521,-577.7218481947576
1493224,Ruth Bader Ginsburg,10,589.1705153380897,249.95620387629862
3392,Michael Douglas,10,-607.9738405521764,215.33185831231924
58225,Zach Galifianakis,10,305.16710444453577,-573.8231769150998
13565,Steve McQueen,10,163.8183824645903,634.0059444253542
87773,Aishwarya Rai Bachchan,10,-553.141721368441,-359.4916356211337
63522,Sofía Vergara,10,655.4697169883688,-109.35927080585203
10215,Paul McCartney,10,-412.4082132073168,527.1806765039368
1190668,Timothée Chalamet,10,-52.37862038463257,-672.0539265018862
77234,Priyanka Chopra Jonas,10,496.0450713140591,463.39970568077615
236695,John Boyega,10,-683.4877673563278,-6.668723585681588
1315036,Daisy Ridley,10,511.9582093880899,-459.8899779731461
85138,Demi Lovato,10,-67.30101298280032,689.5437431022698
81200,Conan O'Brien,10,-418.91960965483594,-557.5897781045129
58769,Stephen Colbert,10,690.0401895465877,129.01370783955247
119592,Aubrey Plaza,10,-599.819065210523,373.3859785931636
86654,Austin Butler,10,191.28381933055408,-684.8434130969764
543261,Karen Gillan,10,323.58712277165307,638.1938373067882
527393,Dylan O'Brien,10,-673.86942284198,-253.5744485523269
1009740,Pitbull,10,672.2893190132762,-269.86491350426695
172069,Chadwick Boseman,10,-315.33948303486085,657.0852383361741
234352,Margot Robbie,10,-212.6024599410681,-701.7123299664945
998387,Ed Sheeran,10,634.5097586955277,376.02841132039885
31136,Chris Brown,10,-726.1051766319703,152.22113016350707
1223786,Emilia Clarke,10,435.0912146843199,-606.2141823683468
1216701,Meghan,0.9316,10,89.17721199835879
1136406,Tom Holland,10,-572.3219708051407,-491.9832941612139
4724,Kevin Bacon,10,758.5683902842909,-23.958239949957203
1892,Matt Damon,10,-546.1703904896007,533.0083531732284
4690,Christopher Walken,10,42.920982298349664,-766.1317049166839
1920,Winona Ryder,10,488.49937322013864,597.1334543998785
4587,Halle Berry,10,-767.656283637675,-110.92263155728772
4495,Steve Carell,10,644.3734248485652,-439.07048334969005
1922,Catherine Zeta-Jones,10,-179.49035218548232,763.009314145202
4491,Jennifer Aniston,10,-385.04469490446616,-687.4158733444598
3063,Tilda Swinton,10,752.109859743143,248.05394348235978
31903,Henry Winkler,10,-725.8154734154523,326.790297516164
4784,Laura Dern,10,316.0342084394752,-734.9301865456571
119589,Donald Glover,10,264.71816415668565,759.1602555228468
4785,Jeff Goldblum,10,-711.4966392464007,-382.84792325553633
14406,Lisa Kudrow,10,787.0756093310167,-199.27866216985893
47296,Jeffrey Dean Morgan,10,-447.9128857470356,681.8900547608558
30614,Ryan Gosling,10,-130.95819405170568,-809.2279971742919
8261,Willie Nelson,10,646.2457069338401,510.65299986348975
51329,Bradley Cooper,10,-825.3283448129597,60.27539504889508
55466,James Corden,10,570.5033529528105,-604.7527794641386
51962,Bill Cosby,10,-12.222982268330313,835.1350781187845
27319,Christoph Waltz,10,-557.6533681993429,-626.9152422265134
38673,Channing Tatum,10,838.4567771571667,85.96646345649644
1461,George Clooney,10,-679.3611070448081,505.24101796553765
59538,David Beckham,10,160.36549209284755,-835.1544222153284
1532,Bill Murray,10,447.8588030825855,727.3393241819349
217371,Adam Levine,10,-825.1432096381182,-234.81627624188363
1813,Anne Hathaway,10,770.3788241367837,-385.8969646442253
1136517,Sia,10,-308.70580164301504,808.3939188489381
968660,Nicki Minaj,10,-319.79012147936515,-808.0434878174644
212208,Taylor Swift,10,784.9338156236963,381.41697011331956
1748,William Shatner,10,-839.9362845416662,250.01407542444764
1749,Leonard Nimoy,10,452.33382034684297,-754.8470805205715
969218,Bruno Mars,10,177.0822350950321,865.7031142451481
10583,Gisele Bündchen,10,-718.2747553158581,-520.8467873338035
33684,Bono,10,885.0363190636701,-101.54168571689856
3894,Christian Bale,10,-586.357956027385,675.4142043245664
3895,Michael Caine,10,-23.968935736266616,-897.6778320308856
64,Gary Oldman,10,626.518091558645,648.286264662235
5081,Emily Blunt,10,-903.4219334971071,-55.03462615797924
5064,Meryl Streep,10,706.0726132769556,-571.8928787633666
10205,Sigourney Weaver,10,-134.8475273154242,902.117588996532
4937,Vince Vaughn,10,-511.8968534404549,-759.1848335140537
35806,Shaquille O'Neal,10,893.6703456511696,214.83322206707027
55638,Kevin Hart,10,-807.1224766663003,446.9376999762468
14837,Carol Burnett,10,294.3452766436728,-878.0437677687597
2387,Patrick Stewart,10,377.46963091656875,849.4213781955981
11701,Angelina Jolie,10,-855.2603960427658,-372.7326856619516
56731,Jessica Alba,10,885.657958564572,-303.9900992322525
2282,Ben Kingsley,10,-449.3452764041275,825.4022186626943
10400,Barbra Streisand,10,-227.03611606358828,-915.4532221816474
74568,Chris Hemsworth,10,788.6106466618131,523.5391561016586
325,Eminem,10,-938.476418547784,147.18020189456374
287,Brad Pitt,10,594.6821567886814,-745.0859899348277
62,Bruce Willis,10,65.02600235621895,954.4483322933563
10990,Emma Watson,10,-695.0864345129501,-662.1592320251032
10980,Daniel Radcliffe,10,963.1441716869369,18.796397141058666
38225,Cher,10,-725.377759897589,638.9265258587686
10959,Shia LaBeouf,10,103.63542100684714,-964.3960283580254
5049,John Hurt,10,576.9751670994315,783.7727071993404
2713,Linda Hamilton,10,-958.094884381873,-188.8231779239124
10859,Ryan Reynolds,10,836.8116105584585,-509.6531452218839
934,Russell Crowe,10,-273.68081864554733,944.1921464964125
8891,John Travolta,10,-437.43020227300207,-883.9993315265574
8851,Whitney Houston,10,922.7006910321234,357.5240338338696
976,Jason Statham,10,-924.8825442450876,360.821672506979
380,Robert De Niro,10,439.668647192291,-893.6954071024986
